Produkt,Kategorie,Risikogruppe,preisanstieg_pct,modell,aic,bic,rmse,mae,mape
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Obst & Obstkonserven,hoch,62.33635448136958,"ARIMA(1,1,0) with drift",-10.643843323501201,-4.732967582844836,5.7095518646798595,4.380686327131478,2.926077183858003
"Antipasti auf Gemüsebasis, ohne Oliven",Gemüse & Gemüsekonserven,stabil,18.68239921337267,"ARIMA(0,2,1)",-767.5424757702906,-763.6399883331277,0.5877466428873012,0.49638903953588454,0.41107707514825376
Apfelmus oder andere Kernobstkonserve,Obst & Obstkonserven,hoch,42.85714285714286,"ARIMA(1,1,1)",-750.0316208335709,-744.1207450929145,4.093729358080656,3.0371632595494447,2.1181773404614828
Apfelsaft oder ähnlicher Fruchtsaft,Säfte & Softdrinks,hoch,47.676767676767675,"ARIMA(0,1,0) with drift",-758.9757156951615,-755.0351318680573,2.918985101883148,2.330855526731701,1.6430055268658557
Backmischung für Kuchen,Getreide & Backwaren,mittel,29.662698412698397,"ARIMA(0,2,1)",605.7009246151134,609.3582074080916,2.154036861779663,2.0103565256936733,1.5531613862772495
"Backpulver, Vanillezucker oder Ähnliches",Sonstige Nahrungsmittel,hoch,48.87365328109696,"ARIMA(3,1,0)",-732.1327903234612,-724.2516226692527,5.470171939675099,4.830752408461549,3.2133585150198796
Bananen,Obst & Obstkonserven,stabil,21.787148594377513,"ARIMA(0,1,0)(0,0,1)[12]",-695.428667487854,-691.4880836607498,3.598905406995122,2.9608914769666135,2.4947129128908245
Birnen,Obst & Obstkonserven,stabil,15.478615071283098,"ARIMA(0,1,1)(1,0,0)[12]",762.14557628171406,768.0564520223704,2.4046717033705107,2.1733678884920464,1.9928019041788556
"Blumenkohl, Wirsing oder anderer Kohl",Gemüse & Gemüsekonserven,mittel,38.59275053304905,"ARIMA(2,1,0)(1,0,0)[12]",-183.65719796324208,-175.7760303090336,4.577121857233218,3.434824506676074,2.6892246560877355
Bohnenkaffee,"Kaffee, Tee & Kakao",hoch,41.61793372319691,"ARIMA(3,1,0)",725.666537214749,733.5477048689576,15.302389749578968,13.387545209139565,9.951671205957586
Bonbons,Zucker & Süßwaren,stabil,15.491559086395236,"ARIMA(2,1,3) with drift",-820.8187096396239,-807.026666244759,1.3164325804110422,1.1220443947701877,0.970413552607218
Bratwurst,Fleisch & Wurst,mittel,34.58725182863114,"ARIMA(0,1,0) with drift",703.1342915796833,707.0748754067876,2.878079686403702,2.2385777606828667,1.741852623774844
Brotaufstrich auf Nougatbasis,Zucker & Süßwaren,mittel,35.270132517838924,"ARIMA(0,1,1)(1,0,0)[12] with drift",-610.6706377720407,-602.7894701178321,2.321571241767959,1.6847860752674748,1.3198574149885158
Brötchen zum Fertigbacken,Getreide & Backwaren,hoch,50.64805583250249,"ARIMA(1,1,1)",-536.8743310073686,-530.9634552667122,1.8031108117148429,1.3836974862211282,0.9031195573731374
Butter,Öle & Fette,hoch,47.42468415937802,"ARIMA(1,1,0)",-665.7245641471911,-661.7839803200869,20.39334579873629,18.455902973964804,11.644514143290495
Buttergemüse oder anderes tiefgefrorenes Gemüse,Gemüse & Gemüsekonserven,hoch,49.84583761562181,"ARIMA(0,1,0) with drift",-696.2468779460435,-692.5465827426234,3.9965024318880964,3.4270199332390354,2.3850079107172806
Buttermilch oder anderes Milchgetränk,Milch & Milchgetränke,hoch,43.13326551373346,"ARIMA(0,1,0) with drift",-600.9199209040708,-597.2196257006507,4.1413857845961415,3.581277265978661,2.589183295861466
Champignons oder andere Pilze,Gemüse & Gemüsekonserven,stabil,26.31048387096773,"ARIMA(0,1,0) with drift",699.933108466322,703.8736922934262,2.992296180147329,2.71837981049782,2.1784067352495455
Colagetränk,Säfte & Softdrinks,mittel,37.24696356275303,"ARIMA(1,1,0) with drift",-728.6667883329832,-722.7559125923268,2.7853640801056647,2.3440566783002956,1.722118502814261
"Cornflakes, Müsli oder Ähnliches",Getreide & Backwaren,stabil,24.724724724724712,"ARIMA(0,1,0) with drift",-742.4711399191025,-738.5305560919983,7.927433870388467,6.226444076773544,4.8889279675468345
Dosensuppe,Sonstige Nahrungsmittel,hoch,47.884416924664606,"ARIMA(0,1,0) with drift",-212.29754174650873,-208.3569579194045,8.913770203809841,7.785990812978841,5.422948465928154
Eier,Milch & Milchgetränke,hoch,44.792719919110205,"ARIMA(1,1,0) with drift",685.3059855726017,691.216861313258,2.171421795798283,2.032520652370742,1.4469409883547188
"Eingelegte Matjes, Fischsalat oder Ähnliches",Fisch & Meeresfrüchte,mittel,32.93650793650793,"ARIMA(1,1,3)",-796.9124445129492,-787.0609849451886,2.373700771519196,2.125508445636754,1.6150627480335886
Energy-Drinks,Säfte & Softdrinks,stabil,11.701081612586028,"ARIMA(1,1,0)",596.7918715357114,600.4921667391314,5.725166992918645,5.271288362866449,4.718587731178236
Erbsenkonserve,Gemüse & Gemüsekonserven,hoch,58.54398382204246,"ARIMA(1,1,0) with drift",-688.3655295311542,-682.815086726024,12.11507133292413,9.891410548043964,6.2500835688316405
"Erdbeeren, Himbeeren, Stachelbeeren oder Ähnliches",Obst & Obstkonserven,mittel,39.268527430221354,"ARIMA(1,0,1)(1,1,0)[12] with drift",-483.1281525219365,-474.43980443051964,6.792219666452677,5.58461299204257,3.6343126137327597
