Produkt,Datum,prognose,lo80,hi80,lo95,hi95
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-07-01,162.8954945553374,144.6534554724867,182.04396868821772,135.36933629092385,192.5421305234828
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-08-01,163.9403752833879,144.82629312356096,184.04539859455943,135.1155557537592,195.08339642957748
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-09-01,164.9884823011724,145.03379855675738,186.01850072084144,134.91307265610817,197.57955935870078
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-10-01,166.0396521260374,145.27205416459148,187.96684625384177,134.75597217398777,200.0361615227145
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-11-01,167.09378567038283,145.53783186917238,189.89345391643457,134.63936353694152,202.45786923243338
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-12-01,168.15082244573776,145.8284411962453,191.80088696268766,134.55915992972785,204.84863359330842
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2026-01-01,169.21072510223632,146.1416158527671,193.69133368497083,134.51191236700092,207.2118210444323
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2026-02-01,170.2734701625382,146.47542815623896,195.56667326184717,134.49468321949152,209.5503185148302
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2026-03-01,171.33904246833998,146.82822376584613,197.42852920931833,134.50494902496726,211.8666178429575
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2026-04-01,172.40743185198343,147.19857134433838,199.27831263808773,134.54052507678972,214.162883539168
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2026-05-01,173.47863114164255,147.5852233073749,201.1172572615658,134.59950633608898,216.44100729187863
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2026-06-01,174.5526349657625,147.98708489009832,202.94644778723602,134.68022068483518,218.70265197017048
"Antipasti auf Gemüsebasis, ohne Oliven",2025-07-01,121.84734683155129,95.2253360113326,167.3445825284396,85.19727253343248,207.21157399258558
"Antipasti auf Gemüsebasis, ohne Oliven",2025-08-01,122.05561980258382,93.3494982687422,173.92077596976378,82.83877755263045,222.45549652132598
"Antipasti auf Gemüsebasis, ohne Oliven",2025-09-01,122.26457018917026,91.48625136732498,181.21223347447477,80.5336092813105,240.52072104497736
"Antipasti auf Gemüsebasis, ohne Oliven",2025-10-01,122.47420124327368,89.63961526336496,189.3254324597495,78.28489345882922,262.2116677939856
"Antipasti auf Gemüsebasis, ohne Oliven",2025-11-01,122.68451623751453,87.81305430418242,198.39011204905114,76.09489513641547,288.6709804761203
"Antipasti auf Gemüsebasis, ohne Oliven",2025-12-01,122.8955184653409,86.00952946332455,208.56579290104585,73.96514399594501,321.5759248266051
"Antipasti auf Gemüsebasis, ohne Oliven",2026-01-01,123.10721124119013,84.23154773668396,220.0506298469342,71.89654621238596,363.4887385438374
"Antipasti auf Gemüsebasis, ohne Oliven",2026-02-01,123.31959790065191,82.48120828769996,233.09362696088664,69.88948331544758,418.52200322642767
"Antipasti auf Gemüsebasis, ohne Oliven",2026-03-01,123.53268180064335,80.76024519293502,248.01179706664604,67.9438988870557,493.70545346544674
"Antipasti auf Gemüsebasis, ohne Oliven",2026-04-01,123.74646631957398,79.07006679144604,265.214756974841,66.059374108862,602.0938168418718
"Antipasti auf Gemüsebasis, ohne Oliven",2026-05-01,123.96095485751968,77.41179173041527,285.24079111108796,64.23519323377359,770.874442080143
"Antipasti auf Gemüsebasis, ohne Oliven",2026-06-01,124.17615083639076,75.78628185126304,308.81111733164016,62.47040004694678,1067.1678099273001
Apfelmus oder andere Kernobstkonserve,2025-07-01,137.96747081870305,116.12671714931933,169.1991555952483,107.04340777504281,191.80307249340052
