Produkt,Datum,prognose_val,echt,lo80,hi80,lo95,hi95
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-07-01,151.7283780749604,151.7,149.49188760961817,153.97887697068197,148.31364270930573,155.17587878179316
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-08-01,152.27312638709662,151.5,148.06300616679712,156.5329853954823,145.8545113384323,158.80807994183564
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-09-01,153.0081195998376,151.3,146.94580724550897,159.173600349928,143.77859662571538,162.47895490199747
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-10-01,153.85809753324534,151.4,146.10032090497253,161.78468173718568,142.06239837043663,166.04864502186464
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-11-01,154.7780698032431,150,145.476338655891,164.32207708943832,140.65116912669222,169.47167299934998
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-12-01,155.74111166805588,150,145.02898940088522,166.7738000834645,139.48931074007896,172.74275262339827
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-01-01,156.7310990516598,147.6,144.7221745594154,169.141765854209,138.52935715655863,175.87257541133303
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-02-01,157.73837181455986,147.9,144.52798002797442,171.4333636186582,137.73323435419684,178.8770775555382
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-03-01,158.7571407038394,148.2,144.42511057661522,173.65757384234257,137.07113299127877,181.77276768769627
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-04-01,159.78393536294203,154.1,144.39733508120224,175.82324167988855,136.51988032853353,184.57483623051544
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-05-01,160.8166748908463,159.6,144.43220906135846,177.93838230641592,136.06143244803704,187.29653944324411
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-06-01,161.85411103529134,161.2,144.52009820601862,180.00997355365263,135.68164692553532,189.94914889665333
"Antipasti auf Gemüsebasis, ohne Oliven",2024-07-01,119.39975338490446,119.5,116.51257102277228,122.42596458281248,115.03729099027997,124.08763008248798
"Antipasti auf Gemüsebasis, ohne Oliven",2024-08-01,119.60014371833746,120.3,114.9124811636637,124.66496130453424,112.56978166805975,127.51435420500623
"Antipasti auf Gemüsebasis, ohne Oliven",2024-09-01,119.80117399787014,120.2,113.32109611521203,127.02344930817202,110.15377009890234,131.1911189859389
"Antipasti auf Gemüsebasis, ohne Oliven",2024-10-01,120.00284723974252,121,111.67996354982088,129.58883121805326,107.70430186990447,135.27477457144016
"Antipasti auf Gemüsebasis, ohne Oliven",2024-11-01,120.20516647901002,120.9,109.98168199758305,132.39890140186714,105.21322171400462,139.85184913516827
"Antipasti auf Gemüsebasis, ohne Oliven",2024-12-01,120.40813476968509,120.9,108.23108300509259,135.48106142867138,102.6899170000965,145.00019605165778
"Antipasti auf Gemüsebasis, ohne Oliven",2025-01-01,120.61175518489145,120.6,106.43651340134763,138.86152963199632,100.14810733698741,150.80532867386037
"Antipasti auf Gemüsebasis, ohne Oliven",2025-02-01,120.8160308170095,121.3,104.60709804693649,142.56868297060086,97.60179015388235,157.36858403115676
"Antipasti auf Gemüsebasis, ohne Oliven",2025-03-01,121.02096477782334,121.1,102.75173785019852,146.63480141394373,95.06384301403801,164.81398862892553
"Antipasti auf Gemüsebasis, ohne Oliven",2025-04-01,121.226560198679,120.9,100.87872408369758,151.09736747077318,92.54556558154572,173.29610527561468
"Antipasti auf Gemüsebasis, ohne Oliven",2025-05-01,121.4328202306331,120.7,98.99560072611875,156.0003344907658,90.05659379035508,183.01028499967308
"Antipasti auf Gemüsebasis, ohne Oliven",2025-06-01,121.6397480446096,120.7,97.10913483241028,161.39556512715822,87.60496930586386,194.20687233930457
Apfelmus oder andere Kernobstkonserve,2024-07-01,138.0808459598822,137.9,134.45651521243076,141.895404131334,132.6102005776745,143.99680012482253
Apfelmus oder andere Kernobstkonserve,2024-08-01,138.06389582732484,137.3,132.44548495090396,144.153093722713,129.64388480253925,147.58735072896158
Apfelmus oder andere Kernobstkonserve,2024-09-01,138.0488955874471,137.4,130.61879848833652,146.3253033140132,126.98566461783118,151.09902751054378
Apfelmus oder andere Kernobstkonserve,2024-10-01,138.03562059501581,137.2,128.8867043891074,148.50254493324542,124.4961099029071,154.6759141373541
Apfelmus oder andere Kernobstkonserve,2024-11-01,138.02387215859483,138,127.22673652953802,150.70574738201486,122.13807987740417,158.35491762262012
Apfelmus oder andere Kernobstkonserve,2024-12-01,138.01347452632015,138,125.63192584552392,152.93882611845626,119.89792573352646,162.14632189871503
Apfelmus oder andere Kernobstkonserve,2025-01-01,138.0042722251391,141.9,124.09962733547623,155.2004249081666,117.76864568147224,166.05188149965397
Apfelmus oder andere Kernobstkonserve,2025-02-01,137.99612771132954,143.1,122.62829122616331,157.48755435127026,115.74508718530093,170.07049864605187
Apfelmus oder andere Kernobstkonserve,2025-03-01,137.98891929531445,143.1,121.21644570268398,159.79690078179317,113.82246480042771,174.2003177655831
Apfelmus oder andere Kernobstkonserve,2025-04-01,137.982539308298,144.1,119.8624044493275,162.12532306336476,111.99594366217934,178.4395625951157
Apfelmus oder andere Kernobstkonserve,2025-05-01,137.97689248218967,144.7,118.56422679189085,164.47003253933926,110.26058260274452,182.78687668463982
Apfelmus oder andere Kernobstkonserve,2025-06-01,137.97189451772084,145,117.31976235984548,166.82864142765428,108.61139068422767,187.2414532536266
Apfelsaft oder ähnlicher Fruchtsaft,2024-07-01,132.51335604673875,133.1,129.31154613936394,135.86922074272275,127.67545418285775,137.71184192397135
Apfelsaft oder ähnlicher Fruchtsaft,2024-08-01,133.33630903417637,133.2,128.79869694091724,138.1875875077498,126.51356068249122,140.89376393912653
Apfelsaft oder ähnlicher Fruchtsaft,2024-09-01,134.16902677208776,134.4,128.58733254705825,140.2297585741264,125.80779392421977,143.65315121765488
Apfelsaft oder ähnlicher Fruchtsaft,2024-10-01,135.0116809695857,133.7,128.53072766794108,142.14301380159858,125.33400953244995,146.2150388113406
Apfelsaft oder ähnlicher Fruchtsaft,2024-11-01,135.86444734839105,134.3,128.57275114051401,143.98405569142426,125.00647317282808,148.666084238254
Apfelsaft oder ähnlicher Fruchtsaft,2024-12-01,136.72750576008764,134.3,128.68495680212519,145.78191916166722,124.78172947864144,151.05070006499145
Apfelsaft oder ähnlicher Fruchtsaft,2025-01-01,137.60104030748204,136.6,128.85064629769337,147.55390941957177,124.63425637432292,153.3954011766724
Apfelsaft oder ähnlicher Fruchtsaft,2025-02-01,138.48523947026206,142.8,129.05907062944888,149.31140112370065,124.54760990281987,155.71766163371515
Apfelsaft oder ähnlicher Fruchtsaft,2025-03-01,139.38029623510735,142.1,129.30285600547043,151.06241328141797,124.51049413159816,158.02984654652565
Apfelsaft oder ähnlicher Fruchtsaft,2025-04-01,140.2864082304647,146.1,129.57670275954317,152.81291111118665,124.5147752249722,160.3411998870747
Apfelsaft oder ähnlicher Fruchtsaft,2025-05-01,141.20377786617084,145,129.87666408818234,154.56752812583875,124.55438079240714,162.65894713466557
Apfelsaft oder ähnlicher Fruchtsaft,2025-06-01,142.13261247811093,146.2,130.19971742409953,156.3299956197631,124.6246459471725,164.9889513291197
Backmischung für Kuchen,2024-01-01,124.80830099209227,126.6,123.07758051111357,126.51534927144105,122.15146709707865,127.40974880789057
Backmischung für Kuchen,2024-02-01,125.21527070370048,125.5,122.5425387154888,127.83213705578754,121.10380628027337,129.19596950352317
Backmischung für Kuchen,2024-03-01,125.62092207290534,127.2,122.06742961361513,129.07663053677652,120.1437899781817,130.8690416549542
Backmischung für Kuchen,2024-04-01,126.02526782956946,128.4,121.59403175511927,130.30591115639186,119.18160772913669,132.5159882659841
Backmischung für Kuchen,2024-05-01,126.42832049999863,128.7,121.10275772932876,131.53846017163846,118.18648122742836,134.16484427446957
Backmischung für Kuchen,2024-06-01,126.83009241146993,129.1,120.58503506972991,132.7817737562453,117.14441975990472,135.8268837802288
Backmischung für Kuchen,2024-07-01,127.23059569663107,130.7,120.03660758357132,134.0390576434354,116.04796750202225,137.50685445086037
Backmischung für Kuchen,2024-08-01,127.62984229777545,129.9,119.45520520788925,135.31155321054976,114.8926302064504,139.20653143011987
Backmischung für Kuchen,2024-09-01,128.0278439709973,131,118.83955943233691,136.59951796224095,113.67535819000065,140.92621363661777
Backmischung für Kuchen,2024-10-01,128.42461229023098,129.9,118.1889323687859,137.90269232467858,112.39381312119212,142.66543467231656
Backmischung für Kuchen,2024-11-01,128.82015865117813,130.7,117.50287121572757,139.2205409906361,111.04597744282577,144.42332914517664
Backmischung für Kuchen,2024-12-01,129.2144942751268,130.7,116.78107181115618,140.55238510523714,109.62992812437562,146.1988322505476
"Backpulver, Vanillezucker oder Ähnliches",2024-07-01,153.4469271104372,152.5,148.55930180268712,158.64938650995933,146.08995099707553,161.5412098779825
"Backpulver, Vanillezucker oder Ähnliches",2024-08-01,154.70620459882218,152.1,145.16644608161977,165.51187746745717,140.55633061902924,171.83181902951836
