Kategorie,n,mean_anstieg,sd_anstieg,median_anstieg,min_anstieg,max_anstieg
Öle & Fette,5,52.875538693347785,3.2307451147594897,54.291417165668655,47.42468415937802,55.51257253384914
Milch & Milchgetränke,14,43.70041369064398,15.991322317256866,42.95991338927779,7.907907907907896,75.48918640576727
Getreide & Backwaren,24,40.91204517958076,13.985992173125997,37.344537881620305,10.166177908113404,76.87747035573122
Säfte & Softdrinks,9,38.53807852614051,16.771519953828278,37.24696356275303,11.701081612586028,71.73281703775412
Fleisch & Wurst,27,37.575436768161886,13.796504329090046,33.541017653167195,19.815195071868573,72.54098360655739
Gemüse & Gemüsekonserven,25,34.71484682831606,23.9328528406656,39.99999999999999,-13.891285591026758,75.78718783930512
"Kaffee, Tee & Kakao",6,34.630059825475364,20.158513144829552,31.183182275931518,11.764705882352944,69.11468812877261
Zucker & Süßwaren,11,33.858773438260485,19.723531488312705,30.29087261785357,10.079051383399218,70.09063444108763
Sonstige Nahrungsmittel,21,31.345557806730664,12.244255651428954,28.073572120038737,11.2966601178782,53.040877367896314
Obst & Obstkonserven,15,29.43194386359579,15.258674985928014,30.482456140350877,0.4480286738351324,62.33635448136958
Fisch & Meeresfrüchte,11,27.66868945726555,9.321094162528613,31.46853146853148,4.5409674234945685,37.37864077669904
