Produkt,Kategorie
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Obst & Obstkonserven
"Antipasti auf Gemüsebasis, ohne Oliven",Gemüse & Gemüsekonserven
Apfelmus oder andere Kernobstkonserve,Obst & Obstkonserven
Apfelsaft oder ähnlicher Fruchtsaft,Säfte & Softdrinks
Backmischung für Kuchen,Getreide & Backwaren
"Backpulver, Vanillezucker oder Ähnliches",Sonstige Nahrungsmittel
Bananen,Obst & Obstkonserven
Birnen,Obst & Obstkonserven
"Blumenkohl, Wirsing oder anderer Kohl",Gemüse & Gemüsekonserven
Bohnenkaffee,"Kaffee, Tee & Kakao"
Bonbons,Zucker & Süßwaren
Bratwurst,Fleisch & Wurst
Brotaufstrich auf Nougatbasis,Zucker & Süßwaren
Brötchen zum Fertigbacken,Getreide & Backwaren
Butter,Öle & Fette
Buttergemüse oder anderes tiefgefrorenes Gemüse,Gemüse & Gemüsekonserven
Buttermilch oder anderes Milchgetränk,Milch & Milchgetränke
Champignons oder andere Pilze,Gemüse & Gemüsekonserven
Colagetränk,Säfte & Softdrinks
"Cornflakes, Müsli oder Ähnliches",Getreide & Backwaren
Dosensuppe,Sonstige Nahrungsmittel
Eier,Milch & Milchgetränke
"Eingelegte Matjes, Fischsalat oder Ähnliches",Fisch & Meeresfrüchte
Energy-Drinks,Säfte & Softdrinks
Erbsenkonserve,Gemüse & Gemüsekonserven
"Erdbeeren, Himbeeren, Stachelbeeren oder Ähnliches",Obst & Obstkonserven
"Erdnüsse, Studentenfutter oder Ähnliches",Obst & Obstkonserven
Essig,Sonstige Nahrungsmittel
Feinkostsalat auf Fleischbasis,Fleisch & Wurst
"Feldsalat, Lauch, Sellerie oder Ähnliches",Gemüse & Gemüsekonserven
Fertigdessert,Milch & Milchgetränke
Fertiggericht aus Fleisch oder Fisch,Sonstige Nahrungsmittel
Fertignahrung für Säuglinge oder Kleinkinder,Sonstige Nahrungsmittel
Fertigsuppe im Beutel oder Instantbrühe,Sonstige Nahrungsmittel
"Fischfilet, frisch oder gekühlt",Fisch & Meeresfrüchte
Fischkonserve,Fisch & Meeresfrüchte
Fischmarinade,Fisch & Meeresfrüchte
Fischstäbchen o.a. tiefgefrorene Fischzubereitung,Fisch & Meeresfrüchte
"Fleischfertiggericht ohne Beilage, konserviert",Fleisch & Wurst
Fleischwurst,Fleisch & Wurst
Frisches Brötchen,Getreide & Backwaren
Frisches Geflügelfleisch,Fleisch & Wurst
Frischkäse,Milch & Milchgetränke
Früchtetee oder Kräutertee,"Kaffee, Tee & Kakao"
Gekochter Schinken oder anderes gegartes Fleisch,Fleisch & Wurst
"Gemüseprodukt, vegetarisch oder vegan",Gemüse & Gemüsekonserven
Gemüsesaft,Säfte & Softdrinks
"Getreideprodukt, vegetarisch oder vegan",Getreide & Backwaren
Gewürze,Sonstige Nahrungsmittel
"Grieß, Roggenmehl oder Ähnliches",Getreide & Backwaren
"Grillsoße, Sojasoße, Salatdressing oder Ähnliches",Sonstige Nahrungsmittel
Gurken,Gemüse & Gemüsekonserven
Gurkenkonserve,Gemüse & Gemüsekonserven
Gyros oder andere fertige Fleischpfanne,Fleisch & Wurst
Haferflocken,Getreide & Backwaren
Hartkäse,Milch & Milchgetränke
Hefegebäck,Getreide & Backwaren
Honig,Zucker & Süßwaren
"Hülsenfrüchte, Spargel, Radieschen oder Ähnliches",Gemüse & Gemüsekonserven
Instantkaffee oder Ähnliches,"Kaffee, Tee & Kakao"
Joghurt,Milch & Milchgetränke
"Kabeljau oder Lachs, frisch oder gekühlt",Fisch & Meeresfrüchte
Kaffeepads oder Kaffeekapseln,"Kaffee, Tee & Kakao"
Kakaopulver oder Ähnliches,"Kaffee, Tee & Kakao"
Kalbfleisch,Fleisch & Wurst
Kaninchenfleisch oder anderes Wildfleisch,Fleisch & Wurst
Kartoffelchips oder Kartoffelsticks,Gemüse & Gemüsekonserven
Kartoffelkloßmehl oder Kartoffelpüree,Gemüse & Gemüsekonserven
Kartoffeln,Gemüse & Gemüsekonserven
Kasseler oder anderes Schweinefleisch,Fleisch & Wurst
"Kaugummi, Gummibärchen oder Ähnliches",Zucker & Süßwaren
Kekse,Getreide & Backwaren
"Kiwis, Melonen oder Ähnliches",Obst & Obstkonserven
Knäckebrot oder Zwieback,Getreide & Backwaren
Koffeinfreie Limonade,Säfte & Softdrinks
Kondensierte Milch,Milch & Milchgetränke
Kopfsalat oder Eisbergsalat,Gemüse & Gemüsekonserven
"Kuchen oder Torte, tiefgefroren",Getreide & Backwaren
"Kuchen, Torte oder Tortenboden, frisch",Getreide & Backwaren
Körnerbrot oder Vollkornbrot,Getreide & Backwaren
"Kürbisse, Auberginen oder Mais",Gemüse & Gemüsekonserven
Lammfleisch,Fleisch & Wurst
Leber oder andere Innereien,Fleisch & Wurst
Leberwurst oder Blutwurst,Fleisch & Wurst
Margarine oder Pflanzenfett,Öle & Fette
"Marmelade, Konfitüre oder Gelee",Zucker & Süßwaren
Mayonnaise,Sonstige Nahrungsmittel
"Meeresfrüchte, frisch oder gekühlt",Fisch & Meeresfrüchte
Mineralwasser mit Kohlensäure,Säfte & Softdrinks
Mineralwasser ohne Kohlensäure,Säfte & Softdrinks
"Muffins, Waffeln oder andere Dauerbackwaren",Getreide & Backwaren
Multivitaminsaft,Säfte & Softdrinks
Möhren,Gemüse & Gemüsekonserven
Nudelfertiggericht,Getreide & Backwaren
Nudeln,Getreide & Backwaren
