Produkt,Kategorie,Risikogruppe,r_cpi_niveau,r_cpi_mom
"Scholle, Forelle oder Karpfen, frisch oder gekühlt",Fisch & Meeresfrüchte,mittel,0.9948021457021347,0.2927727270355869
Erbsenkonserve,Gemüse & Gemüsekonserven,hoch,0.9930849450997865,0.31445016318882
Frisches Brötchen,Getreide & Backwaren,mittel,0.9924401388052494,0.15848250961909785
Fischmarinade,Fisch & Meeresfrüchte,mittel,0.9915147338032543,0.22672686478330392
Weißbrot,Getreide & Backwaren,mittel,0.9909587919163673,0.4176889089684431
Roggenbrot oder Mischbrot,Getreide & Backwaren,mittel,0.9897933622137242,0.40036213403997
Hefegebäck,Getreide & Backwaren,mittel,0.9897506181158703,0.23230933223919506
Kalbfleisch,Fleisch & Wurst,stabil,0.9889468785979216,0.1804215344563442
Fertignahrung für Säuglinge oder Kleinkinder,Sonstige Nahrungsmittel,mittel,0.9887798506201283,-0.11474393512250136
"Säuglingsmilchnahrung, Pulverform",Sonstige Nahrungsmittel,stabil,0.9879902848037664,0.22883874988063538
"Eingelegte Matjes, Fischsalat oder Ähnliches",Fisch & Meeresfrüchte,mittel,0.986402564840264,0.3699546590110558
Brötchen zum Fertigbacken,Getreide & Backwaren,hoch,0.9863868482755268,0.2734334901986577
Feinkostsalat auf Fleischbasis,Fleisch & Wurst,hoch,0.985138998694076,0.16289652492975015
Leber oder andere Innereien,Fleisch & Wurst,stabil,0.9849658277263383,0.19837147434723038
"Fleischfertiggericht ohne Beilage, konserviert",Fleisch & Wurst,stabil,0.984813867836148,0.3272677404706099
"Kuchen oder Torte, tiefgefroren",Getreide & Backwaren,hoch,0.983233269598383,0.33214978210075574
Bratwurst,Fleisch & Wurst,mittel,0.9829644365887141,0.04041397993885555
Körnerbrot oder Vollkornbrot,Getreide & Backwaren,mittel,0.9825232923004226,0.18538495207949152
Trockengemüse,Gemüse & Gemüsekonserven,stabil,0.9814476354815926,0.3673223438139492
"Kuchen, Torte oder Tortenboden, frisch",Getreide & Backwaren,mittel,0.9812386370081142,0.2950572296689895
"Tiefgefrorenes, tafelfertig zubereitetes Fleisch",Fleisch & Wurst,hoch,0.9809068409295267,0.2870392634639396
"Roher Schinken, Schinkenspeck oder Bauchspeck",Fleisch & Wurst,stabil,0.9807467369401394,0.11224753499392397
Rindfleisch zum Schmoren oder Braten,Fleisch & Wurst,hoch,0.9806451727392652,0.3134233357641937
"Kabeljau oder Lachs, frisch oder gekühlt",Fisch & Meeresfrüchte,stabil,0.9802978231931482,0.41169716208502416
"Fischfilet, frisch oder gekühlt",Fisch & Meeresfrüchte,mittel,0.9801563871795979,0.19376724347712315
"Meeresfrüchte, frisch oder gekühlt",Fisch & Meeresfrüchte,stabil,0.9800855983519955,0.0014886436425097123
Dosensuppe,Sonstige Nahrungsmittel,hoch,0.9795777513253738,0.0508219294523947
Gurkenkonserve,Gemüse & Gemüsekonserven,hoch,0.9795030716595553,0.17835196129746939
Weichkäse,Milch & Milchgetränke,hoch,0.979482981498546,0.24307142716974015
Rinderroulade oder Rinderlende,Fleisch & Wurst,mittel,0.9790365879250376,0.3862979773352832
Schweinebraten,Fleisch & Wurst,mittel,0.9783254816902798,0.264742536842083
Eier,Milch & Milchgetränke,hoch,0.9781774286115686,0.17132584429474007
Reiszubereitung,Getreide & Backwaren,mittel,0.9781599496287576,0.1017170645448521
Zubereitetes Hackfleisch,Fleisch & Wurst,hoch,0.9767770716648688,0.304723303952846
Tiefgefrorenes Geflügelfleisch,Fleisch & Wurst,hoch,0.9760966502946378,0.19056395570470536
Senf,Sonstige Nahrungsmittel,hoch,0.9750341141840028,0.24830010586688506
Mineralwasser ohne Kohlensäure,Säfte & Softdrinks,stabil,0.975026881033583,0.025860614565676628
Fertiggericht aus Fleisch oder Fisch,Sonstige Nahrungsmittel,stabil,0.9748592547619526,0.09733131091537447
Rindfleisch zum Kochen,Fleisch & Wurst,hoch,0.9747572559425433,0.12040148271923384
Reis,Getreide & Backwaren,mittel,0.9744604189681164,0.14077432278113242
Leberwurst oder Blutwurst,Fleisch & Wurst,mittel,0.9742118692328363,0.19960215447993698
Schmalz oder anderes tierisches Speisefett,Öle & Fette,hoch,0.9738628472216962,0.09341085791981985
Gemüsesaft,Säfte & Softdrinks,mittel,0.9735695788851662,0.4153661697055003
Pilzkonserve,Gemüse & Gemüsekonserven,mittel,0.9731680163706016,0.2146645363734235
Mineralwasser mit Kohlensäure,Säfte & Softdrinks,stabil,0.972873979209987,0.13923626541307632
Kondensierte Milch,Milch & Milchgetränke,hoch,0.9726611473986294,0.28717839296117287
"Vitamintabletten, Magnesiumtabletten o.Ä.",Sonstige Nahrungsmittel,stabil,0.9722973730540401,0.2892313256729335
Gyros oder andere fertige Fleischpfanne,Fleisch & Wurst,mittel,0.9721004736100508,0.16202144046996464
Kartoffelchips oder Kartoffelsticks,Gemüse & Gemüsekonserven,hoch,0.9720923636969961,0.288062171295698
Essig,Sonstige Nahrungsmittel,mittel,0.972089612282586,0.3268394661725396
Champignons oder andere Pilze,Gemüse & Gemüsekonserven,stabil,0.971976945857555,0.09002011939661198
Knäckebrot oder Zwieback,Getreide & Backwaren,hoch,0.97056702389116,0.2283178498391452
Mayonnaise,Sonstige Nahrungsmittel,hoch,0.9700118119958048,0.3813651365948689
"Tortenguss, Gelatine oder Ähnliches",Sonstige Nahrungsmittel,stabil,0.9699344637892531,-0.04247422756943892
Fischkonserve,Fisch & Meeresfrüchte,mittel,0.9698532017240679,0.14084167684845178
Speisesalz,Sonstige Nahrungsmittel,stabil,0.9698426282118219,0.21924655418681976
Schweinekotelett oder Schweineschnitzel,Fleisch & Wurst,mittel,0.9695450442783337,0.20653480366174912
Apfelmus oder andere Kernobstkonserve,Obst & Obstkonserven,hoch,0.9689872261002644,0.26469657296966315
"Muffins, Waffeln oder andere Dauerbackwaren",Getreide & Backwaren,mittel,0.9689488154551272,0.41851926831913266
Fertigdessert,Milch & Milchgetränke,mittel,0.9689027704056544,0.3938178697122325
"Schweinehackfleisch, auch gemischt",Fleisch & Wurst,hoch,0.9674247911987478,0.2136144911151601
Haferflocken,Getreide & Backwaren,mittel,0.9668992331250541,0.367222702441866
Sauerkrautkonserve,Gemüse & Gemüsekonserven,hoch,0.9663810985047251,0.03277353583992059
"Grillsoße, Sojasoße, Salatdressing oder Ähnliches",Sonstige Nahrungsmittel,hoch,0.9662228853278599,0.2721788522612948
Kaffeepads oder Kaffeekapseln,"Kaffee, Tee & Kakao",mittel,0.9661557683038109,0.13096174707562788
Tiefgefrorener Spinat,Gemüse & Gemüsekonserven,hoch,0.9657804852239235,0.1452642554855938
Wurstkonserve,Fleisch & Wurst,hoch,0.9652874867867526,0.18212416307044918
Buttergemüse oder anderes tiefgefrorenes Gemüse,Gemüse & Gemüsekonserven,hoch,0.9642645246645204,0.04101267625087922
Bonbons,Zucker & Süßwaren,stabil,0.9637967900235084,0.28926007992156455
"Soßenpulver, Soßenbinder oder Ähnliches",Sonstige Nahrungsmittel,mittel,0.963569374954649,0.2439212065774712
Kasseler oder anderes Schweinefleisch,Fleisch & Wurst,stabil,0.963553032681704,0.17290477245550542
"Salami, Zervelatwurst oder andere Dauerwurst",Fleisch & Wurst,stabil,0.963185190786934,0.1909720339840549
Gewürze,Sonstige Nahrungsmittel,stabil,0.9627154235825848,0.3360107100978049
"Pizza, Quiches oder Ähnliches",Getreide & Backwaren,mittel,0.9626010066110354,0.33818653513509445
Gekochter Schinken oder anderes gegartes Fleisch,Fleisch & Wurst,stabil,0.9624386665201163,0.08442376012714156
Colagetränk,Säfte & Softdrinks,mittel,0.9620951929780784,0.22325609275678276
Frischkäse,Milch & Milchgetränke,mittel,0.9616525163858595,0.29743024144650754
Sportriegel,Sonstige Nahrungsmittel,stabil,0.9606894789002485,0.051591850846973875
Räucherfisch,Fisch & Meeresfrüchte,stabil,0.9604330735139113,0.30373686821121315
