Produkt,n,mean_mom,median_mom,sd_mom,min_mom,max_mom,start_preis,end_preis,preisanstieg_pct,Kategorie
Gemüsesaft,60,0.8810199573662673,0.37296115034336497,2.4881703172140375,-1.060752169720358,18.021201413427555,100.3,167,66.50049850448654,Säfte & Softdrinks
Apfelsaft oder ähnlicher Fruchtsaft,66,0.7852147481955926,0.4585169363248043,1.9314395516892893,-2.448579823702257,12.175102599179224,99,164,65.65656565656566,Säfte & Softdrinks
Multivitaminsaft,66,0.7743128012092619,0.3069985297998179,1.9014041410010163,-2.2615535889872196,10.88844355377423,100.9,166,64.51932606541129,Säfte & Softdrinks
Colagetränk,66,0.7797866068547147,0.4130722896346972,2.848521700609283,-3.56188780053428,18.731563421828913,98.8,161,62.95546558704454,Säfte & Softdrinks
Koffeinfreie Limonade,66,0.765002994937285,0.3163290822705722,3.080701899920624,-2.7750247770069514,22.44897959183671,100.7,162,60.87388282025819,Säfte & Softdrinks
Energy-Drinks,60,0.9192810812919988,-0.09460746405452468,5.767307331417097,-3.8348082595870303,43.48591549295775,101.7,163,60.27531956735497,Säfte & Softdrinks
Orangensaft oder ähnlicher Fruchtsaft,66,0.730992443556399,0.7556604787195109,1.9589942107578968,-6.989853438556937,6.412639405204468,103.3,165,59.72894482090998,Säfte & Softdrinks
Mineralwasser ohne Kohlensäure,66,0.7551298909179112,0.39636108164630146,3.1671408088477944,-3.1956352299298607,24.320124320124336,100.2,160,59.68063872255489,Säfte & Softdrinks
Kakaopulver oder Ähnliches,66,0.71968173647172,0.4926556715066477,1.764428727394986,-6.008328375966688,9.150757077024352,99.4,158,58.95372233400402,"Kaffee, Tee & Kakao"
Früchtetee oder Kräutertee,60,0.8246902163425899,0.09713455423778772,3.710857141122204,-1.747572815533982,27.7461350691619,99.3,157,58.10674723061431,"Kaffee, Tee & Kakao"
Mineralwasser mit Kohlensäure,66,0.721095154514489,0.30546370650291754,2.846750118287735,-2.2885572139303423,21.46676852559204,101.3,159,56.95952615992104,Säfte & Softdrinks
