term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
Produkt,"Cornflakes, Müsli oder Ähnliches-Backmischung für Kuchen",0,0.02967944503015152,-7.486209023893596,7.5455679139538985,1
Produkt,Energy-Drinks-Backmischung für Kuchen,0,1.8628301705496424,-5.829926931644792,9.555587272744077,0.9999985646383638
Produkt,Frisches Brötchen-Backmischung für Kuchen,0,-0.013015860796295575,-7.528904329720043,7.5028726081274515,1
Produkt,Gemüsesaft-Backmischung für Kuchen,0,1.8245690466239513,-5.868188055570483,9.517326148818386,0.9999989821244608
Produkt,"Getreideprodukt, vegetarisch oder vegan-Backmischung für Kuchen",0,-0.10781807475143024,-7.623706543675177,7.408070394172317,1
Produkt,"Grieß, Roggenmehl oder Ähnliches-Backmischung für Kuchen",0,0.004321789112753938,-7.5115666798109935,7.520210258036501,1
Produkt,Gurken-Backmischung für Kuchen,0,2.8884269575233175,-4.62746151140043,10.404315426447065,0.9984908661204193
Produkt,Haferflocken-Backmischung für Kuchen,0,0.07688701822874411,-7.6158700839656905,7.7696441204231785,1
Produkt,Hefegebäck-Backmischung für Kuchen,0,-0.14505159906046228,-7.837808701254897,7.547705503133972,1
Produkt,Körnerbrot oder Vollkornbrot-Backmischung für Kuchen,0,-0.043345490112563945,-7.559233959036312,7.472542978811183,1
Produkt,"Kuchen, Torte oder Tortenboden, frisch-Backmischung für Kuchen",0,0.05185977360440919,-7.464028695319338,7.567748242528157,1
Produkt,"Muffins, Waffeln oder andere Dauerbackwaren-Backmischung für Kuchen",0,0.060965359168532296,-7.454923109755215,7.57685382809228,1
Produkt,Nudeln-Backmischung für Kuchen,0,0.06354449839315779,-7.629212603801276,7.756301600587593,1
Produkt,Paprika-Backmischung für Kuchen,0,1.9787701005313179,-5.537118368392429,9.494658569455066,0.9999943865702763
Produkt,Reis-Backmischung für Kuchen,0,-0.03811218341548972,-7.554000652339237,7.4777762855082575,1
Produkt,Reiszubereitung-Backmischung für Kuchen,0,-0.14202633624269378,-7.834783438437128,7.550730765951741,1
Produkt,Roggenbrot oder Mischbrot-Backmischung für Kuchen,0,-0.0382970057106059,-7.5541854746343535,7.477591463213141,1
Produkt,Toastbrot-Backmischung für Kuchen,0,0.07351372274644496,-7.442374746177302,7.589402191670192,1
Produkt,Weißbrot-Backmischung für Kuchen,0,-0.06462089432267282,-7.58050936324642,7.451267574601075,1
Produkt,"Energy-Drinks-Cornflakes, Müsli oder Ähnliches",0,1.833150725519491,-5.682737743404257,9.349039194443238,0.9999983836427735
Produkt,"Frisches Brötchen-Cornflakes, Müsli oder Ähnliches",0,-0.042695305826447094,-7.377451410922172,7.292060799269278,1
Produkt,"Gemüsesaft-Cornflakes, Müsli oder Ähnliches",0,1.7948896015937996,-5.720998867329948,9.310778070517546,0.9999988594119411
Produkt,"Getreideprodukt, vegetarisch oder vegan-Cornflakes, Müsli oder Ähnliches",0,-0.13749751978158176,-7.472253624877307,7.197258585314143,1
Produkt,"Grieß, Roggenmehl oder Ähnliches-Cornflakes, Müsli oder Ähnliches",0,-0.02535765591739758,-7.360113761013122,7.309398449178327,1
Produkt,"Gurken-Cornflakes, Müsli oder Ähnliches",0,2.858747512493166,-4.476008592602559,10.19350361758889,0.9981847619180011
Produkt,"Haferflocken-Cornflakes, Müsli oder Ähnliches",0,0.04720757319859259,-7.4686808957251545,7.56309604212234,1
Produkt,"Hefegebäck-Cornflakes, Müsli oder Ähnliches",0,-0.1747310440906138,-7.6906195130143615,7.341157424833133,1
Produkt,"Körnerbrot oder Vollkornbrot-Cornflakes, Müsli oder Ähnliches",0,-0.07302493514271546,-7.40778104023844,7.261731169953009,1
Produkt,"Kuchen, Torte oder Tortenboden, frisch-Cornflakes, Müsli oder Ähnliches",0,0.02218032857425767,-7.3125757765214665,7.356936433669983,1
Produkt,"Muffins, Waffeln oder andere Dauerbackwaren-Cornflakes, Müsli oder Ähnliches",0,0.03128591413838078,-7.303470190957344,7.366042019234105,1
Produkt,"Nudeln-Cornflakes, Müsli oder Ähnliches",0,0.03386505336300627,-7.482023415560741,7.549753522286753,1
Produkt,"Paprika-Cornflakes, Müsli oder Ähnliches",0,1.9490906555011662,-5.385665449594558,9.28384676059689,0.9999934840537311
Produkt,"Reis-Cornflakes, Müsli oder Ähnliches",0,-0.06779162844564124,-7.402547733541366,7.266964476650084,1
Produkt,"Reiszubereitung-Cornflakes, Müsli oder Ähnliches",0,-0.1717057812728453,-7.687594250196593,7.3441826876509015,1
Produkt,"Roggenbrot oder Mischbrot-Cornflakes, Müsli oder Ähnliches",0,-0.06797645074075742,-7.402732555836482,7.266779654354967,1
Produkt,"Toastbrot-Cornflakes, Müsli oder Ähnliches",0,0.043834277716293446,-7.290921827379432,7.378590382812018,1
Produkt,"Weißbrot-Cornflakes, Müsli oder Ähnliches",0,-0.09430033935282434,-7.429056444448549,7.2404557657429,1
Produkt,Frisches Brötchen-Energy-Drinks,0,-1.875846031345938,-9.391734500269685,5.64004243757781,0.9999976408812636
Produkt,Gemüsesaft-Energy-Drinks,0,-0.03826112392569114,-7.731018226120126,7.654495978268743,1
Produkt,"Getreideprodukt, vegetarisch oder vegan-Energy-Drinks",0,-1.9706482453010725,-9.486536714224819,5.545240223622675,0.9999947462042699
Produkt,"Grieß, Roggenmehl oder Ähnliches-Energy-Drinks",0,-1.8585083814368883,-9.374396850360636,5.6573800874868585,0.9999979739164182
Produkt,Gurken-Energy-Drinks,0,1.0255967869736748,-6.4902916819500724,8.541485255897422,0.9999999999371235
Produkt,Haferflocken-Energy-Drinks,0,-1.7859431523208982,-9.478700254515333,5.906813949873536,0.9999992873033433
Produkt,Hefegebäck-Energy-Drinks,0,-2.007881769610105,-9.70063887180454,5.68487533258433,0.9999951171843862
Produkt,Körnerbrot oder Vollkornbrot-Energy-Drinks,0,-1.9061756606622065,-9.422064129585953,5.609712808261541,0.9999969347098117
Produkt,"Kuchen, Torte oder Tortenboden, frisch-Energy-Drinks",0,-1.8109703969452333,-9.326858865868981,5.704918071978514,0.9999986778994246
Produkt,"Muffins, Waffeln oder andere Dauerbackwaren-Energy-Drinks",0,-1.80186481138111,-9.317753280304856,5.714023657542637,0.9999987837067039
Produkt,Nudeln-Energy-Drinks,0,-1.7992856721564845,-9.492042774350919,5.89347143003795,0.9999991930447399
Produkt,Paprika-Energy-Drinks,0,0.11593992998167535,-7.399948538942072,7.631828398905423,1
Produkt,Reis-Energy-Drinks,0,-1.900942353965132,-9.41683082288888,5.614946114958615,0.9999970689774191
Produkt,Reiszubereitung-Energy-Drinks,0,-2.0048565067923363,-9.69761360898677,5.687900595402098,0.9999952345665089
Produkt,Roggenbrot oder Mischbrot-Energy-Drinks,0,-1.9011271762602484,-9.417015645183996,5.614761292663498,0.999997064329188
Produkt,Toastbrot-Energy-Drinks,0,-1.7893164478031975,-9.305204916726945,5.72657202112055,0.9999989167480499
Produkt,Weißbrot-Energy-Drinks,0,-1.927451064872315,-9.443339533796063,5.588437404051432,0.9999963285713938
Produkt,Gemüsesaft-Frisches Brötchen,0,1.8375849074202468,-5.6783035615035,9.353473376343993,0.9999983180178003
Produkt,"Getreideprodukt, vegetarisch oder vegan-Frisches Brötchen",0,-0.09480221395513466,-7.42955831905086,7.23995389114059,1
Produkt,"Grieß, Roggenmehl oder Ähnliches-Frisches Brötchen",0,0.017337649909049513,-7.317418455186675,7.352093755004774,1
Produkt,Gurken-Frisches Brötchen,0,2.901442818319613,-4.433313286776112,10.236198923415337,0.9977996011922207
Produkt,Haferflocken-Frisches Brötchen,0,0.08990287902503968,-7.4259855898987075,7.605791347948787,1
Produkt,Hefegebäck-Frisches Brötchen,0,-0.1320357382641667,-7.647924207187914,7.383852730659581,1
Produkt,Körnerbrot oder Vollkornbrot-Frisches Brötchen,0,-0.03032962931626837,-7.365085734411993,7.304426475779456,1
Produkt,"Kuchen, Torte oder Tortenboden, frisch-Frisches Brötchen",0,0.06487563440070476,-7.2698804706950195,7.39963173949643,1
Produkt,"Muffins, Waffeln oder andere Dauerbackwaren-Frisches Brötchen",0,0.07398121996482787,-7.260774885130897,7.408737325060552,1
Produkt,Nudeln-Frisches Brötchen,0,0.07656035918945336,-7.439328109734294,7.5924488281132,1
Produkt,Paprika-Frisches Brötchen,0,1.9917859613276132,-5.342970143768111,9.326542066423338,0.9999907889573979
Produkt,Reis-Frisches Brötchen,0,-0.025096322619194145,-7.359852427714919,7.309659782476531,1
Produkt,Reiszubereitung-Frisches Brötchen,0,-0.1290104754463982,-7.644898944370145,7.386877993477349,1
Produkt,Roggenbrot oder Mischbrot-Frisches Brötchen,0,-0.025281144914310327,-7.360037250010035,7.309474960181414,1
Produkt,Toastbrot-Frisches Brötchen,0,0.08652958354274054,-7.248226521552984,7.4212856886384655,1
Produkt,Weißbrot-Frisches Brötchen,0,-0.05160503352637724,-7.386361138622102,7.283151071569347,1
Produkt,"Getreideprodukt, vegetarisch oder vegan-Gemüsesaft",0,-1.9323871213753816,-9.44827559029913,5.583501347548365,0.999996173048992
Produkt,"Grieß, Roggenmehl oder Ähnliches-Gemüsesaft",0,-1.8202472575111974,-9.336135726434945,5.69564121141255,0.9999985614249378
Produkt,Gurken-Gemüsesaft,0,1.0638579108993662,-6.452030558024381,8.5797463798231135,0.9999999998776825
Produkt,Haferflocken-Gemüsesaft,0,-1.7476820283952073,-9.440439130589642,5.945075073799227,0.9999995041459646
Produkt,Hefegebäck-Gemüsesaft,0,-1.9696206456844134,-9.662377747878848,5.723136456510021,0.999996423709892
Produkt,Körnerbrot oder Vollkornbrot-Gemüsesaft,0,-1.867914536736515,-9.383803005660262,5.647973932187233,0.9999977990334314
Produkt,"Kuchen, Torte oder Tortenboden, frisch-Gemüsesaft",0,-1.772709273019542,-9.288597741943288,5.743179195904205,0.9999990722055232
Produkt,"Muffins, Waffeln oder andere Dauerbackwaren-Gemüsesaft",0,-1.763603687455419,-9.279492156379167,5.752284781468328,0.9999991484251728
Produkt,Nudeln-Gemüsesaft,0,-1.7610245482307936,-9.453781650425228,5.931732553963641,0.9999994366437308
Produkt,Paprika-Gemüsesaft,0,0.1542010539073665,-7.361687415016381,7.6700895228311134,1
Produkt,Reis-Gemüsesaft,0,-1.862681230039441,-9.378569698963188,5.653207238884306,0.9999978979759707
Produkt,Reiszubereitung-Gemüsesaft,0,-1.966595382866645,-9.65935248506108,5.72616171932779,0.9999965118810589
Produkt,Roggenbrot oder Mischbrot-Gemüsesaft,0,-1.862866052334557,-9.378754521258305,5.65302241658919,0.999997894552607
Produkt,Toastbrot-Gemüsesaft,0,-1.7510553238775062,-9.266943792801253,5.764833145046241,0.9999992440090395
Produkt,Weißbrot-Gemüsesaft,0,-1.8891899409466242,-9.405078409870372,5.626698527977123,0.9999973510263037
Produkt,"Grieß, Roggenmehl oder Ähnliches-Getreideprodukt, vegetarisch oder vegan",0,0.11213986386418417,-7.22261624123154,7.446895968959909,1
Produkt,"Gurken-Getreideprodukt, vegetarisch oder vegan",0,2.9962450322747474,-4.338511072820977,10.331001137370471,0.996686687507816
Produkt,"Haferflocken-Getreideprodukt, vegetarisch oder vegan",0,0.18470509298017435,-7.3311833759435725,7.700593561903922,1
Produkt,"Hefegebäck-Getreideprodukt, vegetarisch oder vegan",0,-0.03723352430903204,-7.5531219932327796,7.478654944614715,1
Produkt,"Körnerbrot oder Vollkornbrot-Getreideprodukt, vegetarisch oder vegan",0,0.06447258463886629,-7.270283520456858,7.399228689734591,1
Produkt,"Kuchen, Torte oder Tortenboden, frisch-Getreideprodukt, vegetarisch oder vegan",0,0.15967784835583942,-7.175078256739885,7.494433953451564,1
Produkt,"Muffins, Waffeln oder andere Dauerbackwaren-Getreideprodukt, vegetarisch oder vegan",0,0.16878343391996253,-7.165972671175762,7.503539539015687,1
Produkt,"Nudeln-Getreideprodukt, vegetarisch oder vegan",0,0.17136257314458803,-7.344525895779159,7.687251042068335,1
Produkt,"Paprika-Getreideprodukt, vegetarisch oder vegan",0,2.086588175282748,-5.248167929812976,9.421344280378474,0.9999808193374029
