Produkt,Mittelwert,Median,Std,Min,Max,Anzahl_Monate
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",133.89850746268658,145.1,23.266528777945013,95.0,163.8,67
"Antipasti auf Gemüsebasis, ohne Oliven",108.85671641791045,110.5,9.476449659320492,97.3,121.3,67
Apfelmus oder andere Kernobstkonserve,119.30298507462687,113.8,17.74940861284778,93.0,145.0,67
Apfelsaft oder ähnlicher Fruchtsaft,116.23880597014926,108.6,15.95500258989638,98.5,164.0,67
Backmischung für Kuchen,110.11967213114754,102.5,16.98067352091912,22.0,131.0,61
"Backpulver, Vanillezucker oder Ähnliches",127.91343283582091,138.9,24.45983036886093,97.6,156.4,67
Bananen,108.91641791044776,106.6,9.237105623925345,82.0,122.1,67
Birnen,103.41492537313434,104.2,7.16321101460797,84.0,117.1,67
"Blumenkohl, Wirsing oder anderer Kohl",114.84776119402986,117.7,16.062306319633674,85.8,147.0,67
Bohnenkaffee,116.02388059701494,119.1,12.796295505035582,97.6,154.0,67
Bonbons,107.5179104477612,107.0,6.9075260969277315,98.0,128.0,67
Bratwurst,115.42686567164179,120.3,15.201251763544086,41.0,130.0,67
Brotaufstrich auf Nougatbasis,112.31940298507462,111.3,10.975112877254425,98.1,132.7,67
Brötchen zum Fertigbacken,127.54626865671642,131.7,27.388978807333217,7.0,156.5,67
Butter,124.79253731343285,119.4,23.621358551703402,76.0,165.8,67
Buttergemüse oder anderes tiefgefrorenes Gemüse,118.28524590163934,108.1,16.895086426390098,97.3,145.8,61
Buttermilch oder anderes Milchgetränk,118.88852459016393,111.8,18.39932153061316,73.0,140.7,61
Champignons oder andere Pilze,113.99701492537314,119.9,10.96796948348613,98.4,126.7,67
Colagetränk,116.39701492537314,114.9,14.399221045316814,98.7,161.0,67
"Cornflakes, Müsli oder Ähnliches",114.54626865671642,114.3,17.6228530036239,21.0,133.8,67
Dosensuppe,123.11791044776119,124.9,18.782833275910377,96.9,147.0,67
Eier,123.07014925373136,132.7,17.39537569102579,75.0,143.2,67
"Eingelegte Matjes, Fischsalat oder Ähnliches",115.22238805970149,117.8,14.70146169702,60.0,134.0,67
Energy-Drinks,105.62295081967213,104.4,8.399710182353973,97.7,163.0,61
Erbsenkonserve,129.68688524590164,124.4,23.07754663021927,98.0,160.5,61
"Erdbeeren, Himbeeren, Stachelbeeren oder Ähnliches",121.61940298507463,114.9,20.69863294275204,86.0,165.3,67
"Erdnüsse, Studentenfutter oder Ähnliches",114.72537313432836,110.4,14.359437222908884,91.0,137.7,67
Essig,118.97462686567164,118.8,16.900558922831983,99.0,139.6,67
Feinkostsalat auf Fleischbasis,122.18805970149255,128.9,20.315388423169782,45.0,144.0,67
"Feldsalat, Lauch, Sellerie oder Ähnliches",111.83278688524591,111.2,10.932622761129105,97.0,134.5,61
Fertigdessert,118.02622950819672,113.3,17.531665652368808,72.0,139.9,61
Fertiggericht aus Fleisch oder Fisch,113.54776119402985,111.5,11.574388631134354,98.7,144.0,67
Fertignahrung für Säuglinge oder Kleinkinder,116.29701492537313,115.2,12.382575369142774,95.7,142.0,67
Fertigsuppe im Beutel oder Instantbrühe,109.79344262295082,107.4,10.801494786254642,97.4,146.0,61
"Fischfilet, frisch oder gekühlt",116.6776119402985,121.6,15.533900570624144,51.0,133.7,67
Fischkonserve,115.82686567164178,113.8,16.176962501802148,58.0,136.8,67
Fischmarinade,118.1016393442623,117.6,17.01057016292398,59.0,141.5,61
Fischstäbchen o.a. tiefgefrorene Fischzubereitung,120.37164179104477,130.6,19.703059337668414,61.0,149.4,67
"Fleischfertiggericht ohne Beilage, konserviert",113.71641791044776,116.0,14.091600732941734,48.0,127.9,67
Fleischwurst,113.24754098360657,122.3,15.459070762903538,40.0,127.9,61
Frisches Brötchen,116.88955223880598,123.0,19.553075665436634,8.0,137.0,67
Frisches Geflügelfleisch,122.79253731343285,137.1,20.614574966276976,34.0,142.7,67
Frischkäse,120.05820895522388,126.0,19.654440081706046,70.0,146.1,67
Früchtetee oder Kräutertee,109.55081967213115,107.2,10.095768469195715,97.9,157.0,61
Gekochter Schinken oder anderes gegartes Fleisch,108.13283582089552,112.7,10.456452090509552,47.0,117.5,67
"Gemüseprodukt, vegetarisch oder vegan",106.45970149253732,108.9,6.623810578225345,98.0,115.2,67
Gemüsesaft,118.29344262295082,112.0,17.32181542499187,99.3,167.0,61
"Getreideprodukt, vegetarisch oder vegan",104.77462686567164,107.8,11.219400719743296,23.0,112.7,67
Gewürze,108.11967213114754,106.6,8.196336980060684,98.9,140.0,61
"Grieß, Roggenmehl oder Ähnliches",125.51044776119404,135.4,24.66948878816097,3.0,150.1,67
"Grillsoße, Sojasoße, Salatdressing oder Ähnliches",123.5089552238806,125.5,20.966132367884672,97.4,149.8,67
Gurken,117.04925373134328,109.8,28.23955088671081,80.9,213.1,67
Gurkenkonserve,121.2865671641791,118.0,17.557359637229833,98.8,145.7,67
Gyros oder andere fertige Fleischpfanne,115.81641791044775,123.4,14.63889171387586,49.0,130.3,67
Haferflocken,116.97049180327869,117.6,21.556471141804078,20.0,142.3,61
Hartkäse,117.45671641791046,119.9,16.457256149304396,66.0,140.5,67
Hefegebäck,113.0344262295082,111.9,18.378963384314346,9.0,130.9,61
Honig,112.49402985074627,113.6,10.760461866242213,97.9,130.7,67
"Hülsenfrüchte, Spargel, Radieschen oder Ähnliches",114.09836065573771,114.7,11.37070053255705,90.5,133.1,61
Instantkaffee oder Ähnliches,113.54918032786885,111.1,12.794720564238187,98.0,155.0,61
Joghurt,118.36716417910448,127.4,17.14327669308488,65.0,136.7,67
"Kabeljau oder Lachs, frisch oder gekühlt",113.98360655737704,119.2,14.551966422994388,52.0,132.3,61
Kaffeepads oder Kaffeekapseln,116.92985074626866,122.1,12.798449419876757,98.7,153.0,67
Kakaopulver oder Ähnliches,119.69104477611941,111.2,20.89369000979094,99.0,168.1,67
