COICOP-Index,Produkt,Datum,Monat_Nr,Preisindex
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2020-01-01,1.0,99.3
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2020-02-01,2.0,99.5
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2020-03-01,3.0,99.9
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2020-04-01,4.0,100.1
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2020-05-01,5.0,100.5
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2020-06-01,6.0,100.7
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2020-07-01,7.0,98.4
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2020-08-01,8.0,98.7
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2020-09-01,9.0,99.5
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2020-10-01,10.0,99.9
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2020-11-01,11.0,101.1
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2020-12-01,12.0,102.3
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2021-01-01,13.0,105.1
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2021-02-01,14.0,105.9
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2021-03-01,15.0,107.4
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2021-04-01,16.0,112.3
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2021-05-01,17.0,114.0
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2021-06-01,18.0,117.0
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2021-07-01,19.0,118.2
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2021-08-01,20.0,118.7
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2021-09-01,21.0,119.6
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2021-10-01,22.0,120.1
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2021-11-01,23.0,120.3
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2021-12-01,24.0,121.0
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2022-01-01,25.0,121.8
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2022-02-01,26.0,122.7
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2022-03-01,27.0,124.4
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2022-04-01,28.0,128.3
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2022-05-01,29.0,131.8
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2022-06-01,30.0,137.9
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2022-07-01,31.0,141.2
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2022-08-01,32.0,143.6
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2022-09-01,33.0,145.1
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2022-10-01,34.0,146.1
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2022-11-01,35.0,146.7
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2022-12-01,36.0,153.2
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2023-01-01,37.0,159.4
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2023-02-01,38.0,161.3
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2023-03-01,39.0,163.8
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2023-04-01,40.0,162.9
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2023-05-01,41.0,161.7
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2023-06-01,42.0,162.4
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2023-07-01,43.0,161.7
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2023-08-01,44.0,161.3
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2023-09-01,45.0,161.2
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2023-10-01,46.0,158.2
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2023-11-01,47.0,154.0
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2023-12-01,48.0,151.2
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-01-01,49.0,152.1
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-02-01,50.0,151.8
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-03-01,51.0,151.0
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-04-01,52.0,152.1
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-05-01,53.0,151.8
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-06-01,54.0,151.5
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-07-01,55.0,151.7
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-08-01,56.0,151.5
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-09-01,57.0,151.3
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-10-01,58.0,151.4
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-11-01,59.0,150.0
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2024-12-01,60.0,150.0
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-01-01,61.0,147.6
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-02-01,62.0,147.9
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-03-01,63.0,148.2
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-04-01,64.0,154.1
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-05-01,65.0,159.6
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",2025-06-01,66.0,161.2
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",,,95.0
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2020-01-01,1.0,101.7
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2020-02-01,2.0,101.8
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2020-03-01,3.0,101.6
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2020-04-01,4.0,101.1
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2020-05-01,5.0,101.4
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2020-06-01,6.0,101.6
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2020-07-01,7.0,98.8
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2020-08-01,8.0,98.9
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2020-09-01,9.0,98.8
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2020-10-01,10.0,98.7
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2020-11-01,11.0,97.9
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2020-12-01,12.0,97.7
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2021-01-01,13.0,99.3
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2021-02-01,14.0,98.8
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2021-03-01,15.0,98.7
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2021-04-01,16.0,98.2
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2021-05-01,17.0,98.0
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2021-06-01,18.0,97.9
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2021-07-01,19.0,97.5
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2021-08-01,20.0,97.9
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2021-09-01,21.0,97.7
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2021-10-01,22.0,97.6
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2021-11-01,23.0,97.3
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2021-12-01,24.0,97.4
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2022-01-01,25.0,97.9
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2022-02-01,26.0,97.4
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2022-03-01,27.0,97.6
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2022-04-01,28.0,98.8
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2022-05-01,29.0,99.7
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2022-06-01,30.0,102.2
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2022-07-01,31.0,107.4
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2022-08-01,32.0,108.5
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2022-09-01,33.0,109.9
CC13-0117329200,"Antipasti auf Gemüsebasis, ohne Oliven",2022-10-01,34.0,110.5
