COICOP-Index,Produkt,Monat,Preisindex,Monat_Nr,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_6
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Januar,99.3,1.0,,,,,
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Februar,99.5,2.0,99.3,,,,
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",März,99.9,3.0,99.5,99.3,,,
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",April,100.1,4.0,99.9,99.5,99.3,99.56666666666666,
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Mai,100.5,5.0,100.1,99.9,99.5,99.83333333333333,
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Juni,100.7,6.0,100.5,100.1,99.9,100.16666666666667,
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Juli,98.4,7.0,100.7,100.5,100.1,100.43333333333334,100.0
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",August,98.7,8.0,98.4,100.7,100.5,99.86666666666667,99.85000000000001
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",September,99.5,9.0,98.7,98.4,100.7,99.26666666666667,99.71666666666665
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Oktober,99.9,10.0,99.5,98.7,98.4,98.86666666666667,99.64999999999999
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",November,101.1,11.0,99.9,99.5,98.7,99.36666666666667,99.61666666666667
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Dezember,102.3,12.0,101.1,99.9,99.5,100.16666666666667,99.71666666666665
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Januar.1,105.1,13.0,102.3,101.1,99.9,101.10000000000001,99.98333333333333
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Februar.1,105.9,14.0,105.1,102.3,101.1,102.83333333333333,101.10000000000001
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",März.1,107.4,15.0,105.9,105.1,102.3,104.43333333333334,102.3
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",April.1,112.3,16.0,107.4,105.9,105.1,106.13333333333333,103.61666666666667
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Mai.1,114.0,17.0,112.3,107.4,105.9,108.53333333333335,105.68333333333334
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Juni.1,117.0,18.0,114.0,112.3,107.4,111.23333333333333,107.83333333333333
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Juli.1,118.2,19.0,117.0,114.0,112.3,114.43333333333334,110.28333333333335
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",August.1,118.7,20.0,118.2,117.0,114.0,116.39999999999999,112.46666666666665
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",September.1,119.6,21.0,118.7,118.2,117.0,117.96666666666665,114.60000000000001
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Oktober.1,120.1,22.0,119.6,118.7,118.2,118.83333333333333,116.63333333333334
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",November.1,120.3,23.0,120.1,119.6,118.7,119.46666666666665,117.93333333333334
CC13-0116403100,"Ananaskonserve, Erdbeerkonserve oder Ähnliches",Dezember.1,121.0,24.0,120.3,120.1,119.6,120.0,118.98333333333333
