Datum,CPI
2020-01-01,99.1
2020-02-01,99.4
2020-03-01,99.5
2020-04-01,98.5
2020-05-01,98.7
2020-06-01,99.0
2020-07-01,99.3
2020-08-01,99.4
2020-09-01,99.5
2020-10-01,99.6
2020-11-01,99.4
2020-12-01,100.2
2021-01-01,101.0
2021-02-01,101.6
2021-03-01,102.1
2021-04-01,102.4
2021-05-01,102.6
2021-06-01,102.9
2021-07-01,103.4
2021-08-01,103.5
2021-09-01,103.8
2021-10-01,104.3
2021-11-01,104.5
2021-12-01,104.7
2022-01-01,105.2
2022-02-01,106.0
2022-03-01,108.1
2022-04-01,108.8
2022-05-01,109.8
2022-06-01,109.8
2022-07-01,110.3
2022-08-01,110.7
2022-09-01,112.7
2022-10-01,113.5
2022-11-01,113.7
2022-12-01,113.2
2023-01-01,114.3
2023-02-01,115.2
2023-03-01,116.1
2023-04-01,116.6
2023-05-01,116.5
2023-06-01,116.8
2023-07-01,117.1
2023-08-01,117.5
2023-09-01,117.8
2023-10-01,117.8
2023-11-01,117.3
2023-12-01,117.4
2024-01-01,117.6
2024-02-01,118.1
2024-03-01,118.6
2024-04-01,119.2
2024-05-01,119.3
2024-06-01,119.4
2024-07-01,119.8
2024-08-01,119.7
2024-09-01,119.7
2024-10-01,120.2
2024-11-01,119.9
2024-12-01,120.5
2025-01-01,120.3
2025-02-01,120.8
2025-03-01,121.2
2025-04-01,121.7
2025-05-01,121.8
2025-06-01,121.8
