,product_name,categories,destatis_category
223,Belgische Pralinen,Pralinen,Pralinen
276,Mehrkomponeneten Protein 90 C6 Haselnuß,Proteinpulver,"Vitamintabletten, Magnesiumtabletten o.Ä."
277,Mehrkomponeneten Protein 90 C6 Schoko,de:Proteinpulver,"Vitamintabletten, Magnesiumtabletten o.Ä."
283,Mehrkomponeneten Protein 90 C6 Banane,Proteinpulver,"Vitamintabletten, Magnesiumtabletten o.Ä."
306,100% Soja Protein Haselnuss,Proteinpulver,"Vitamintabletten, Magnesiumtabletten o.Ä."
307,Whey Protein aus Molke Vanilla,Proteinpulver,"Vitamintabletten, Magnesiumtabletten o.Ä."
309,Whey Protein aus Molke 1000 Gramm Vanilla,Proteinpulver,"Vitamintabletten, Magnesiumtabletten o.Ä."
312,Whey Protein aus Molke 500 Gramm Vanilla,Proteinpulver,"Vitamintabletten, Magnesiumtabletten o.Ä."
369,Sour Fruit Gummies,"Sugary snacks,Confectioneries,Candies","Kaugummi, Gummibärchen oder Ähnliches"
370,Jelly Fish,"Sugary snacks,Confectioneries,Candies",Bonbons
519,Mehrkomponeneten Protein 90 C6 Vanille,Proteinpulver,"Vitamintabletten, Magnesiumtabletten o.Ä."
572,100% Soja Protein Neutral,Proteinpulver,"Vitamintabletten, Magnesiumtabletten o.Ä."
7434,Green pepper sauce,Sauces pimentées,"Grillsoße, Sojasoße, Salatdressing oder Ähnliches"
10465,Baguette-Brötchen,,Brötchen zum Fertigbacken
13159,,"Süßwaren,Bars,Cereal bars,Müsliriegel",Riegel oder andere Erzeugnisse aus Schokolade
13249,Kokosnussmilch,Kokosmilch,"Sojamilch, Reismilch o.Ä., ohne Kokosmilch"
15972,Kartoffel Snack mit Steinpilzen & Crème fraîche,"Dried products,Meals,Dried meals",Kartoffelchips oder Kartoffelsticks
18977,Mozzarella 45% Fett i.Tr.,"Milchprodukte,Käse,Italienischer Käse,Mozzarellas",Weichkäse
20759,100% Soja Protein Vanille,de:Proteinpulver,"Vitamintabletten, Magnesiumtabletten o.Ä."
20773,,Ananas,
20780,Ananas Scheiben gezuckert,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fruits,Tropical fruits,Pineapple","Ananaskonserve, Erdbeerkonserve oder Ähnliches"
20949,Tomatenstücke,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Frucht- und gemüsebasierte Lebensmittel,Gemüsebasierte Lebensmittel,Tomatoes and tomato products,Tomatenmark",Tomaten
20952,Fein gehackte Tomaten mit Basilikum,"Canned fruits in water,Tomaten",Tomaten
21743,Sriracha HOT Chili Sauce,Saucen,"Grillsoße, Sojasoße, Salatdressing oder Ähnliches"
27865,Himalaya Salz,,Speisesalz
31931,Pommersche Feine Gutsleberwurst,,Leberwurst oder Blutwurst
37269,Matcha,,"Getreideprodukt, vegetarisch oder vegan"
54340,Original Kremser Senf,Senf,Senf
54518,Marmorkuchen,"Süßwaren,Biscuits and cakes,Desserts,Cakes,Marmorkuchen,fr:Gâteaux Marbrés","Kuchen, Torte oder Tortenboden, frisch"
55647,Kinder Schoko-Bons,Schokolade,Pralinen
57072,Bio-Frischsauerkraut,Sauerkrauts,"Gemüseprodukt, vegetarisch oder vegan"
59214,Vitamin D3,de:Vitamine,"Vitamintabletten, Magnesiumtabletten o.Ä."
59951,Palmherzen,Palmherzen,"Gemüseprodukt, vegetarisch oder vegan"
61649,,"Getränke,Kaffeegetränke,Ungezuckerte Getränke",Kaffeepads oder Kaffeekapseln
66627,Cream cookies,,Kekse
66826,Saure Sahne 10% Fett,Saure Sahne,Frischkäse
68041,Diced Tomatoes with Habaneros,,Tomaten
69735,English Breakfast,Schwarztees,Schwarzer Tee oder grüner Tee
75882,frische Alpen Milch,"Länger haltbare Frischmilch,Vollmilch",Vollmilch
93240,Half Baked Ice Cream,"Desserts,Tiefkühlprodukte,Tiefkühl-Desserts,Speiseeis und Sorbets,Speiseeis",Speiseeis
96481,Dr. Pepper,,Colagetränk
101777,Zaru Soba,,Nudeln
102473,Bourbon-Vanille-Soße,,"Soßenpulver, Soßenbinder oder Ähnliches"
102570,Nocciolata Nuss-Nougat-Aufstrich,,Brotaufstrich auf Nougatbasis
102571,Frischkäse Kräuter,Frischkäse,Frischkäse
102955,Red Curry Paste,,"Gemüseprodukt, vegetarisch oder vegan"
102965,Fragrant Chilli,Gewürze,Gewürze
106364,Jamaica Rum 73%,Rum,Kein passendes Kategorie.
106540,Sriracha Superscharfe Chilisauce,"Groceries,Sauces,en:Hot sauces","Soßenpulver, Soßenbinder oder Ähnliches"
106542,Sriracha Chilisauce Extra Scharf 730 ML Flying Goose Rot,,"Soßenpulver, Soßenbinder oder Ähnliches"
112049,Purée de pommes de terre,Purée de pommes de terre,Kartoffelpüree
112372,Zwiebel schwalz,,"Zwiebeln, Knoblauch oder Ähnliches"
112416,Knusper Flocken,,"Cornflakes, Müsli oder Ähnliches"
112423,Yogurette,"Süßwaren,Schokoladen",Schokoladentafel
112473,Weihnachtsmann,"Süßwaren,Schokoladen,Chocolate molds",Pralinen
112751,les Sardines au Piment,Fischkonserve,Fischkonserve
113602,Lakridsknapper,Bonbons,Bonbons
113606,Tarallini Snack med Hvidløg og Chili,Snacks,Salzgebäck
113607,Belgiske Trøfler,Pralinen,Pralinen
113728,Apfelmus,Applesauces,Apfelmus oder andere Kernobstkonserve
115342,Kalinka fettarmer Kefir mild,Kefir,Frischkäse
115802,Pancake & Waffle Mix Lemon Blueberry,en:Pancake mix,Reiszubereitung
116360,Ladival Sonnenschutz Milch Kinder LSF 30,,"Vitamintabletten, Magnesiumtabletten o.Ä."
116552,Lasagne,Lasagne,Nudelfertiggericht
117681,Backhefe,Backhefe,Hefegebäck
117824,orthomol i-CAre,,"Vitamintabletten, Magnesiumtabletten o.Ä."
120735,Orange Blossom Water,Blütenwasser,Gemüsesaft
120736,Rose Water,Rosenwasser,"Gemüseprodukt, vegetarisch oder vegan"
120752,Oreo,"Süßwaren,Schokoladen",Kekse
123353,Penguin Caffeinated Cinnomons,,Kaffeepads oder Kaffeekapseln
123999,Elephant Vanilla Chai,"Getränke,Hot beverages,Instant hot beverages",Früchtetee oder Kräutertee
125236,Whey Protein aus Molke Vanilla,Proteinpulver,"Vitamintabletten, Magnesiumtabletten o.Ä."
128173,LiquiD3 Tropical Cherry Flavour 5000 IU,"de:Nahrungsergänzungsmittel,fr:Vitamines,Dietary supplements,fr:Compléments alimentaires","Vitamintabletten, Magnesiumtabletten o.Ä."
131786,Chia-Samen Natur,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Chia","Getreideprodukt, vegetarisch oder vegan"
137903,Fruchtpapier,,Trockenobst
139830,Sauerkirsche Sanddorn Marmelade,Konfitüren und Marmeladen,"Marmelade, Konfitüre oder Gelee"
139831,Dolly,"IPAs,en:craft-beers",Fertiggericht aus Fleisch oder Fisch
146440,Orange Cream Biscuits,,Kekse
146518,Honey Mustard & Onion Pretzel Pieces,Salty snacks,Salzgebäck
148651,wow!bab sizilianische Zitrone,Cereal bars,Riegel oder andere Erzeugnisse aus Schokolade
150948,Grana Padano gerieben,"Milchprodukte,Käse,Italienischer Käse,Grana Padano,Grated Cheese",Hartkäse
157156,Organic Somen Noodles,Nudeln,Nudeln
157158,Organic Ramen Noodles,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Nudeln",Nudeln
171792,Kimchi,,"Gemüseprodukt, vegetarisch oder vegan"
171794,Kimchi,,"Gemüseprodukt, vegetarisch oder vegan"
175958,Pancake & Waffle Mix Buttermilk,en:Pancake mix,Reiszubereitung
176194,Nuss-Frucht-Mischung mit Cranberries,,"Erdnüsse, Studentenfutter oder Ähnliches"
176213,Jack Daniel's Tennessee Honey,,Fertigdessert
176279,Delikatess Kochhinterschinken,,Gekochter Schinken oder anderes gegartes Fleisch
176291,Traube direkt gepresst 100% Direktsaft,,Orangensaft oder ähnlicher Fruchtsaft
176298,Tårta Mörk Choklad,Cakes,"Kuchen, Torte oder Tortenboden, frisch"
176318,Deutsche Markenbutter,Butter,Butter
176392,Lachslocken,"Lachs,Räucherlachs",Räucherfisch
176397,Hummus Falafel,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Brotaufstriche,Salted spreads,Pflanzliche Brotaufstriche,Hummus","Gemüseprodukt, vegetarisch oder vegan"
176439,Haribo Roulette,Süßwaren,Bonbons
176459,Hausgemachte Maultaschen,Maultaschen,Nudelfertiggericht
176491,Sylt Lington,Lingonberry jams,"Marmelade, Konfitüre oder Gelee"
176499,Ramazzotti,"Getränke,Alkoholische Getränke,Liqueurs",Colagetränk
176514,Thai Noodles sweet & sour sauce,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Noodles,Instant noodles",Nudeln
176520,Salzstangen,Salty snacks,Salzgebäck
176530,Würzige Remoulade,Saucen,"Grillsoße, Sojasoße, Salatdressing oder Ähnliches"
176557,Delikatess-Sauce zum Braten,Saucen,"Grillsoße, Sojasoße, Salatdressing oder Ähnliches"
176576,nescafé capuccino vanille,,Kaffeepads oder Kaffeekapseln
176583,Kitekat Huhn in Gelee,,Fertiggericht aus Fleisch oder Fisch
176584,Citrovin,Säuerungsmittel,Gewürze
176600,Reine Buttermilch,Buttermilch,Buttermilch oder anderes Milchgetränk
176676,Haferflocken,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Frühstücke,Getreide und Kartoffeln,Getreide und Getreideprodukte,Frühstückscerealien,Flakes,Frühstücksflocken,Haferflocken",Haferflocken
176682,Bacon-Streifen,Speck,"Roher Schinken, Schinkenspeck oder Bauchspeck"
176683,Pizza Prosciutto / Pizza Tonno,Tiefkühlpizza,"Pizza, Quiches oder Ähnliches"
176691,Farine De Lupin,,"Getreideprodukt, vegetarisch oder vegan"
176699,Tee Türkischer Apfel,Tees,Früchtetee oder Kräutertee
176824,Zarte Haferflocken,Haferflocken,Haferflocken
176882,Soft Baked Chocolate Chunk Dark Chocolate Brownie Cookies,"Süßwaren,Biscuits and cakes,Kekse",Kekse
176924,Edelpilz,"Dairies,Cheeses,Blue-veined cheeses",Weichkäse
176957,Rye crispbread,Crispbreads,Knäckebrot oder Zwieback
176970,Harro Happy Cola,,Colagetränk
177099,,"Fleisch,Prepared meats,Saucissons,Salami,Saucissons","Salami, Zervelatwurst oder andere Dauerwurst"
177102,Mango getrocknet in Streifen,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Fruits and vegetables based foods,Fruits based foods,Dried products,Dried plant-based foods,Dörrobst,Getrocknete Mangos",Trockenobst
177150,Wirsing-Eintopf,,Fertiggericht aus Fleisch oder Fisch
177189,Byerischer Leberkäse,Leberkäse,Leberwurst oder Blutwurst
177335,Premium Cola,"Getränke,Kohlensäurehaltige Getränke,Erfrischungsgetränke,Cola,Gezuckerte Getränke",Colagetränk
177480,Milkana Sahne,,Sahne
177482,Edelbitterschokolade Sao Thomé 75% Kakao,en:Dark chocolates,Schokoladentafel
177550,Coconpure,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Fats,Vegetable fats,Vegetable oils,Fruit and fruit seed oils,Coconut oils",Olivenöl
