Produkt,n,cor_mom_cpi
Stangenspargel oder andere Gemüsekonserve,65,0.4417992923314527
"Muffins, Waffeln oder andere Dauerbackwaren",65,0.41851926831913266
Weißbrot,65,0.4176889089684429
Gemüsesaft,59,0.41536616970550044
"Kabeljau oder Lachs, frisch oder gekühlt",59,0.41169716208502444
Lammfleisch,65,0.4064167325002038
Roggenbrot oder Mischbrot,65,0.4003621340399699
Fertigdessert,59,0.39381786971223265
Rinderroulade oder Rinderlende,65,0.38629797733528315
Mayonnaise,59,0.3813651365948689
Margarine oder Pflanzenfett,65,0.37671601829545637
"Eingelegte Matjes, Fischsalat oder Ähnliches",65,0.3699546590110559
Trockengemüse,59,0.36732234381394924
Haferflocken,59,0.367222702441866
"Pizza, Quiches oder Ähnliches",65,0.33818653513509445
Gewürze,59,0.33601071009780487
"Kuchen oder Torte, tiefgefroren",65,0.33214978210075563
"Fleischfertiggericht ohne Beilage, konserviert",65,0.3272677404706099
Essig,65,0.3268394661725396
Tomatenketchup oder Gewürzketchup,65,0.31785591456521456
Erbsenkonserve,59,0.3144501631888201
Rindfleisch zum Schmoren oder Braten,65,0.31342333576419373
"Cornflakes, Müsli oder Ähnliches",65,0.3109414038243493
Nudeln,59,0.3059255610986797
Zubereitetes Hackfleisch,65,0.3047233039528459
Räucherfisch,65,0.30373686821121304
Frischkäse,65,0.2974302414465075
"Kuchen, Torte oder Tortenboden, frisch",65,0.29505722966898956
"Scholle, Forelle oder Karpfen, frisch oder gekühlt",59,0.2927727270355869
Tiefgefrorenes Fischfilet,65,0.29148415184401855
Bonbons,65,0.2892600799215645
"Vitamintabletten, Magnesiumtabletten o.Ä.",59,0.28923132567293347
Kartoffelchips oder Kartoffelsticks,65,0.288062171295698
Tiefgefrorene Meeresfrüchte,65,0.2874657539216486
Kondensierte Milch,65,0.28717839296117287
"Tiefgefrorenes, tafelfertig zubereitetes Fleisch",65,0.28703926346393954
Brötchen zum Fertigbacken,65,0.2734334901986576
"Grillsoße, Sojasoße, Salatdressing oder Ähnliches",65,0.2721788522612947
Schweinebraten,65,0.264742536842083
Apfelmus oder andere Kernobstkonserve,65,0.26469657296966304
"Erdnüsse, Studentenfutter oder Ähnliches",65,0.26228191337890444
Tiefgefrorenes Obst,65,0.26214536797468224
"Ananaskonserve, Erdbeerkonserve oder Ähnliches",65,0.25546475660997037
Fischstäbchen o.a. tiefgefrorene Fischzubereitung,65,0.25025260819527706
Senf,59,0.248300105866885
Teilentrahmte Milch,65,0.24602971949037256
"Soßenpulver, Soßenbinder oder Ähnliches",65,0.2439212065774712
Weichkäse,65,0.24307142716974015
Puddingpulver,59,0.24293833292295733
Koffeinfreie Limonade,65,0.2390379081340629
"Kiwis, Melonen oder Ähnliches",65,0.23831364586689127
Instantkaffee oder Ähnliches,59,0.23507312846238632
Hefegebäck,59,0.2323093322391951
Bohnenkaffee,65,0.22903531823285447
"Säuglingsmilchnahrung, Pulverform",65,0.22883874988063532
Knäckebrot oder Zwieback,65,0.22831784983914521
Fischmarinade,59,0.22672686478330403
Rinderhackfleisch,65,0.22377962946954003
Colagetränk,65,0.22325609275678276
